BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;3;21792695263998;1441;1845;0x4000
0;3;21834164679999;609;1030;0x4000
0;3;21940731729998;1783;2146;0x4000
0;3;22084427023998;1920;2266;0x4000
0;3;22160245695998;648;1077;0x4000
0;3;22201325741998;1840;2198;0x4000
0;3;22261774439999;274;693;0x4000
0;3;22334591335999;594;1019;0x4000
0;3;22409634087999;16313;14525;0x4000
0;3;22413432415999;6520;6389;0x4000
0;3;22435394799999;882;1311;0x4000
0;3;22441692675999;6642;6525;0x4000
0;3;22469444315998;5246;5275;0x4000
0;3;22484076677999;557;982;0x4000
0;3;22505419485999;523;946;0x4000
0;3;22505951047998;3798;4005;0x4000
0;3;22532597805999;752;1195;0x4000
0;3;22532834183998;11610;10689;0x4000
0;3;22555098991998;2525;2887;0x4000
0;3;22567891447999;1311;1701;0x4000
0;3;22570783757999;10749;10012;0x4000
0;3;22596537031998;16383;16383;0x4480
0;3;22647304659999;1033;1435;0x4000
0;3;22678034829998;2504;2830;0x4000
0;3;22728802319998;1648;2038;0x4000
0;3;22823751397999;6400;6305;0x4000
0;3;22830070159998;2763;3065;0x4000
0;3;22936510493999;3939;4134;0x4000
0;3;22941978375999;3408;3665;0x4000
0;3;22969718067999;3723;3911;0x4000
0;3;23113505447999;150;606;0x4000
0;3;23115408785998;5552;5570;0x4000
0;3;23155544335998;473;889;0x4000
0;3;23208211519999;16383;16383;0x4480
0;3;23224722727999;7236;7017;0x4000
0;3;23238107327998;2903;3173;0x4000
0;3;23359639475998;16383;16383;0x4480
0;3;23418424029999;130;597;0x4000
0;3;23445032159999;581;984;0x4000
0;3;23522624103999;786;1201;0x4000
0;3;23525836141998;2709;3004;0x4000
0;3;23527671501999;9444;8937;0x4000
0;3;23648661417999;3100;3376;0x4000
0;3;23690301831998;3522;3783;0x4000
0;3;23707248351999;1997;2342;0x4000
0;3;23723835001998;1994;2344;0x4000
0;3;23782933053999;1028;1438;0x4000
0;3;23831075035998;1498;1873;0x4000
0;3;23832065169999;3070;3322;0x4000
0;3;24034487397999;8087;7738;0x4000
0;3;24227264007998;1681;2062;0x4000
0;3;24283553903998;5054;5065;0x4000
0;3;24397447307998;1544;1905;0x4000
0;3;24401585045999;4584;4728;0x4000
0;3;24463252741998;2389;2695;0x4000
0;3;24557091503998;4618;4740;0x4000
0;3;24629384055999;779;1187;0x4000
0;3;24662144369998;8675;8251;0x4000
0;3;24669696649998;10917;10174;0x4000
0;3;24852114527999;2738;3050;0x4000
0;3;24864224557999;2294;2640;0x4000
0;3;24882328127998;6290;6220;0x4000
0;3;24926441279998;7473;7216;0x4000
0;3;24982227963999;10637;9921;0x4000
0;3;25016343055999;381;832;0x4000
0;3;25058203007999;528;977;0x4000
0;3;25097268821998;16383;125;0x4080
0;3;25113520855998;3443;3660;0x4000
0;3;25126250103999;4787;4892;0x4000
0;3;25134051165998;6386;6289;0x4000
0;3;25171777275999;9150;8621;0x4000
0;3;25190590295998;2724;3039;0x4000
0;3;25205944191999;674;1102;0x4000
0;3;25258360163998;1887;2223;0x4000
0;3;25262561757999;802;1226;0x4000
0;3;25282137409999;821;1317;0x4000
0;3;25312064325999;4634;4749;0x4000
0;3;25312445383999;1134;1560;0x4000
0;3;25324961871999;4363;4510;0x4000
0;3;25327088463999;4346;4502;0x4000
0;3;25347116929998;6105;6047;0x4000
0;3;25380412967999;2232;2555;0x4000
0;3;25384747549999;4317;4450;0x4000
0;3;25389611167998;1253;1625;0x4000
0;3;25416103925998;16383;16383;0x4480
0;3;25463583353999;708;1133;0x4000
0;3;25515656723998;1472;1858;0x4000
0;3;25547875191998;2200;2539;0x4000
0;3;25583232879998;2246;2604;0x4000
0;3;25600462719998;1706;2097;0x4000
0;3;25609748423999;826;1235;0x4000
0;3;25725767525999;4494;4600;0x4000
0;3;25738057043998;16383;16383;0x4480
0;3;25740768199998;5625;5607;0x4000
0;3;25747135245998;1460;1844;0x4000
0;3;25763397639998;737;1120;0x4000
0;3;25766972349998;526;957;0x4000
0;3;25881802253998;3928;4135;0x4000
0;3;25905289823999;4668;4780;0x4000
0;3;25907001269998;4079;4270;0x4000
0;3;25907609425998;2023;2364;0x4000
0;3;25929508699999;4017;4223;0x4000
0;3;25931218895998;16383;391;0x4080
0;3;25934825077999;3585;3835;0x4000
0;3;25982899169999;7647;7393;0x4000
0;3;26077232911999;5530;5548;0x4000
0;3;26093426453998;7012;6855;0x4000
0;3;26118612529999;6498;6388;0x4000
0;3;26165227387998;14414;13004;0x4000
0;3;26166557611998;286;708;0x4000
0;3;26263032885998;1650;2036;0x4000
0;3;26274261383999;1401;1810;0x4000
0;3;26285035279998;449;876;0x4000
0;3;26340432421998;789;1228;0x4000
0;3;26370489243999;2392;2661;0x4000
0;3;26418747551999;1413;1769;0x4000
0;3;26518336007998;1964;2358;0x4000
0;3;26606083141999;3238;3504;0x4000
0;3;26628220207998;3439;3701;0x4000
0;3;26641948109999;4607;4729;0x4000
0;3;26642659461999;7934;7624;0x4000
0;3;26699475143998;914;1338;0x4000
0;3;26773503113998;7687;7427;0x4000
0;3;26800347371998;623;1055;0x4000
0;3;26884337647999;15965;14283;0x4000
